generation highest_fitness average_fitness standard_deviation
0 7211.540864197531 7211.540864197532 0.0
1 7211.540864197531 7211.540864197532 0.0
2 7220.523137837169 7215.133773653387 4.400397429433075
3 7220.523137837169 7218.726683109242 3.592909455855261
4 7220.523137837169 7220.52313783717 0.0
5 7220.523137837169 7220.52313783717 0.0
6 7220.523137837169 7220.52313783717 0.0
7 7220.523137837169 7220.52313783717 0.0
8 7220.523137837169 7220.52313783717 0.0
9 7249.114420451725 7231.959650882991 14.006810699473935
10 7318.740114399403 7271.246441507885 40.15919365919913
11 7318.740114399403 7304.814975609867 27.85027757907119
12 7318.740114399403 7318.740114399404 0.0
13 7318.740114399403 7318.740114399404 0.0
14 7318.740114399403 7318.740114399404 0.0
15 7318.740114399403 7318.740114399404 0.0
